name,ingredients
Creamy Chicken Penne Pasta,"4 slices bacon, 2 chicken breasts, sliced, salt, to taste, pepper, to taste, 2 teaspoons italian seasoning, 1 teaspoon paprika, 2 cloves garlic, minced, 2 cups spinach (80 g), 4 small tomatoes, diced, 1 ½ cups cream (360 mL), 1 cup shredded parmesan cheese (100 g), plus more for serving, ½ teaspoon red pepper flakes, plus more for garnish, 10 oz penne pasta (285 g), cooked until al dente, 3 tablespoons Chopped fresh parsley, for garnish"
Chicken & Veggie Stir-Fry,"1 lb chicken breast (455 g), cubed, salt, to taste, pepper, to taste, 1 lb broccoli florets (455 g), 8 oz mushroom (225 g), sliced, 3 tablespoons oil, for frying, 3 cloves garlic, minced, 1 tablespoon ginger, minced, 2 teaspoons sesame oil, ⅓ cup reduced sodium soy sauce (80 mL), 1 tablespoon brown sugar, 1 cup chicken broth (240 mL), ¼ cup flour (30 g)"
Low-Carb Avocado Chicken Salad,"⅔ cup plain greek yogurt (190 g), 1 tablespoon lime juice, pepper, to taste, ⅛ teaspoon chili powder, 1 avocado, cubed, divided, 2 chicken breasts, cooked and shredded, 1 stalk celery, diced, 2 tablespoons diced red onion, diced, kosher salt, to taste, low-carb bread, for serving (optional), fresh cilantro leaf, for garnish"
Paprika Chicken & Rice Bake,"5 chicken thighs, 1 teaspoon salt, plus more to taste, 1 teaspoon pepper, plus more to taste, 1 teaspoon paprika, 1 teaspoon dried parsley, 1 tablespoon olive oil, 1 tablespoon garlic, minced, ½ cup red onion (75 g), diced, 1 cup long grain rice (200 g), 1 ½ cups chicken broth (360 mL)"
One-Pot Chicken Fajita Pasta,"3 tablespoons neutral oil, 3 chicken breasts, sliced, 1 red bell pepper, sliced, 1 green bell pepper, sliced, 1 yellow bell pepper, sliced, 1 yellow onion, sliced, 1 teaspoon kosher salt, 1 teaspoon freshly ground black pepper, 1 tablespoon chili powder, 1 tablespoon cumin, 1 tablespoon garlic powder, 5 cups milk (1 ¼ L), 4 cups penne pasta (400 g), 1 cup pepper jack cheese (100 g), shredded"
Cheesy Chicken Alfredo Pasta Bake,"1 tablespoon olive oil, 3 chicken breasts, cubed, salt, to taste, pepper, to taste, 4 cloves garlic, minced, 2 ½ cups chicken broth (600 mL), 2 ½ cups heavy cream (600 mL), ½ lb penne pasta (200 g), uncooked, 2 cups parmesan cheese (220 g), 2 cups mozzarella cheese (200 g), 1 handful fresh parsley, chopped"
Original Orange Chicken by Panda Express,"2 lb boneless, skinless chicken thighs (905 g), 1 tablespoon salt, 1 teaspoon white pepper, 1 cup cornstarch (125 g), 3 cups flour (375 g), 1 egg, 1 ½ cups water (360 mL), 2 tablespoons oil, 6 cups oil (1 ½ L), for frying, 1 tablespoon oil, ¼ teaspoon chili flake, 1 tablespoon garlic, minced, ½ teaspoon ginger, minced, ¼ cup sugar (50 g), ¼ cup brown sugar (55 g), ¼ cup orange juice (60 mL), ¼ cup white distilled vinegar (60 mL), 2 tablespoons soy sauce, 2 tablespoons water, 2 tablespoons cornstarch, 1 teaspoon sesame oil"
Easy Glazed Pork Chops,"4 thick-cut pork chops, ½ teaspoon paprika, ½ teaspoon cayenne pepper, ½ teaspoon garlic powder, ½ teaspoon black pepper, ½ teaspoon salt, 4 tablespoons brown sugar, olive oil, for frying"
Creamy Tuscan Chicken,"4 bone-in, skin-on chicken thighs, 2 teaspoons salt, for the chicken, 1 teaspoon pepper, for the chicken, 1 tablespoon oil, 3 cloves garlic, chopped, ½ onion, diced, 1 tomato, diced, 2 cups spinach (80 g), 2 cups heavy cream (480 mL), 1 teaspoon salt, 1 teaspoon pepper, ½ cup grated parmesan cheese (55 g), 2 tablespoons fresh flat-leaf parsley, chopped"
Cozy Chicken And Dumplings,"2 tablespoons vegetable oil, 2 lb boneless, skinless chicken breast (905 g), cubed, 1 cup diced yellow onion, 1 cup sliced carrot, 3 cloves garlic cloves, minced, 1 teaspoon salt, 5 tablespoons unsalted butter, 6 tablespoons all-purpose flour, 6 cups chicken broth (1 ½ L), ½ cup heavy cream (120 mL), ½ teaspoon dried thyme, 2 bay leaves, 1 ½ cups frozen peas (225 g), 4 tablespoons fresh parsley, minced, 2 cups all-purpose flour (250 g), 1 tablespoon baking powder, ½ teaspoon salt, ½ teaspoon pepper, 1 ⅓ cups heavy cream (320 mL)"
Chicken Teriyaki Chow Mein,"1 lb chicken breast (455 g), cubed, salt, to taste, pepper, to taste, ½ cup teriyaki sauce (120 mL), divided, 4 tablespoons cooking oil, divided, 6 oz chow mein noodle (180 g), hong kong style pan fried noodles, par cooked according to package instructions, ¾ cup onion (11520 g), sliced, ½ cup carrot (60 g), julienned, 1 cup broccoli floret (150 g), 1 cup cabbage (100 g), sesame seed, for garnish"
Classic Chicken Noodle Soup,"¼ cup olive oil (60 mL), 1 large yellow onion, chopped, 3 large carrots, sliced, 4 stalks celery, chopped, 1 teaspoon kosher salt, plus more to taste, 1 teaspoon freshly ground black pepper, plus more to taste, 3 cloves garlic, chopped, 8 cups chicken broth (2 L), 8 oz egg noodles (225 g), 4 cups coarsely shredded chicken (500 g), ½ cup finely chopped fresh parsley (10 g), grated parmesan cheese, for serving"
Honey BBQ Chicken Wings,"1 cup flour (125 g), 1 teaspoon chili powder, 1 teaspoon kosher salt, 1 teaspoon black pepper, freshly ground, 1 teaspoon paprika, 1 teaspoon garlic powder, 20 chicken wings, or drumettes, 1 cup BBQ sauce (290 g), ½ cup honey (170 g)"
