name,ingredients
One Bowl Chocolate Chip Banana Bread,"3 ripe bananas, ⅓ cup butter (75 g), melted, ½ cup sugar (100 g), 1 egg, beaten, 1 teaspoon vanilla extract, 1 teaspoon baking soda, salt, to taste, 1 ½ cups all-purpose flour (185 g), ½ cup mini chocolate chips (85 g)"
Chocolate Mug Cake,"4 tablespoons flour, 3 tablespoons sugar, 2 tablespoons cocoa powder, ½ teaspoon baking powder, 3 tablespoons milk, 1 tablespoon oil, vegetable or canola, 1 teaspoon vanilla extract, 1 tablespoon chocolate  hazelnut spread, plus more for topping, powdered sugar, for topping, optional"
How To Make Cinnamon Rolls,"2 cups whole milk (480 mL), warm to the touch, ½ cup sugar (100 g), 8 tablespoons unsalted butter, melted, 2 ¼ teaspoons active dry yeast, 5 cups all-purpose flour (625 g), divided, 1 teaspoon baking powder, 2 teaspoons kosher salt, ¾ cup light brown sugar (165 g), 12 tablespoons unsalted butter, softened, 2 tablespoons ground cinnamon, 4 oz cream cheese (115 g), softened and cubed, 2 tablespoons unsalted butter, melted, 4 tablespoons milk, 1 teaspoon vanilla extract, 1 cup powdered sugar (120 g)"
Scalloped Potatoes,"1 tablespoon butter, 2 cloves garlic, 1 tablespoon flour, 1 cup milk (240 mL), 1 teaspoon salt, ½ teaspoon pepper, 3 yukon potatoes, peeled, 2 tablespoons grated parmesan cheese, fresh parsley, chopped, for garnish"
Easy One-Pot Mac ‘n’ Cheese,"5 cups whole milk (1.25 L), 1 box elbow macaroni, ½ cup unsalted butter (115 g), 2 cups cheddar cheese (200 g), salt, to taste, pepper, to taste, fresh parsley, to serve"
Ratatouille,"2 eggplants, 6 roma tomatoes, 2 yellow squashes, 2 zucchinis, 2 tablespoons olive oil, 1 medium white onion, diced, 4 cloves garlic, minced, 1 red bell pepper, seeded and diced, 1 yellow bell pepper, seeded and diced, kosher salt, to taste, freshly ground black pepper, to taste, 28 oz crushed tomatoes (795 g), 2 tablespoons thinly sliced fresh basil, 2 tablespoons thinly sliced fresh basil, 1 teaspoon minced garlic, 2 tablespoons finely chopped fresh parsley, 2 teaspoons fresh thyme leaves, kosher salt, to taste, freshly ground black pepper, to taste, 4 tablespoons olive oil"
Apple Pie From Scratch,"2 ½ cups flour (315 g), 1 teaspoon salt, 1 ½ sticks butter, 1 1/2 sticks, cold, cubed, 8 tablespoons ice water, or as needed, 2 ½ lb granny smith apple (1 kg), cored, sliced, peeled, ¾ cup sugar (150 g), 2 tablespoons flour, ½ teaspoon salt, 1 teaspoon cinnamon, ¼ teaspoon nutmeg, ½ lemon, 1 egg, beaten, 1 tablespoon sugar, 1 scoop vanilla ice cream"
Fluffy Pancakes,"4 cups flour (500 g), sifted, 4 tablespoons baking powder, 4 cups milk (960 mL), warm to the touch, ¾ cup butter (170 g), melted, 3 egg yolks, 4 egg whites, maple syrup, to serve"
Homemade Soft Pretzels,"1 ½ cups water (360 mL), warm, 1 tablespoon salt, 1 tablespoon sugar, 1 packet active dry yeast, 4 ½ cups flour (565 g), 3 tablespoons oil, divided, ⅔ cup baking soda (120 g), 2 eggs, beaten, coarse salt"
3-ingredient Mac & Cheese,"5 cups milk (1 ¼ L), 1 lb elbow macaroni (455 g), dry, 2 cups shredded cheddar cheese (200 g)"
How To Make The Fluffiest Pancakes,"2 ½ cups all-purpose flour (310 g), 3 tablespoons sugar, 2 teaspoons kosher salt, 1 teaspoon baking powder, 1 teaspoon baking soda, 2 ½ cups buttermilk (600 mL), 8 tablespoons unsalted butter, 1 stick, melted, 2 eggs, whites and yolks seperated, 1 tablespoon unsalted butter, plus more for serving, blueberry, optional, chocolate chip, optional, maple syrup, for serving"
Healthy Banana Pancakes,"2 ripe bananas, 2 eggs, 1 teaspoon vanilla extract, ½ cup quick-cook oats (70 g), 1 teaspoon cinnamon"
One-Pot Broccoli Cheddar Soup,"2 heads broccoli, ¼ cup unsalted butter (60 g), ½ medium yellow onion, diced, ¼ cup all-purpose flour (40 g), 2 cups half-and-half (480 mL), 2 cups vegetable stock (480 mL), or chicken stock, ½ cup shredded carrots (55 g), 2 teaspoons kosher salt, 1 teaspoon freshly ground black pepper, ¼ teaspoon ground nutmeg, 2 cups grated cheddar cheese (200 g)"
Homemade Dutch Oven Bread,"2 cups lukewarm water (480 mL), between 90˚-110˚F (30˚-40˚C), 1 envelope active dry yeast, 4 cups all-purpose flour (500 g), lightly packed and leveled off, plus more for dusting, 1 ½ teaspoons kosher salt, 1 teaspoon olive oil"
Classic Carrot Cake,"3 cups carrot (450 g), hand-grated, 2 ½ cups all-purpose flour (310 g), plus 1 tablespoon, divided, 2 teaspoons ground cinnamon, ¼ teaspoon allspice, 1 teaspoon kosher salt, 1 teaspoon baking powder, ½ teaspoon baking soda, 1 cup light brown sugar (200 g), packed, ½ cup granulated sugar (100 g), 3 large eggs, room temperature, 1 cup vegetable oil (240 mL), 1 cup raisin (150 g), 1 cup crushed pineapple (225 g), canned, 1 cup unsalted butter (225 g), (2 sticks) room temperature, 12 oz cream cheese (340 g), room temperature, 1 ½ teaspoons vanilla extract, 2 cups powdered sugar (240 g), 2 cups walnuts (200 g), crushed"
Microwave 5-Minute Mac 'N' Cheese,"½ cup elbow macaroni (50 g), ½ cup water (120 mL), 3 tablespoons milk, salt, to taste, pepper, to taste, ¼ cup shredded cheddar cheese (25 g), fresh chive, to garnish, optional"
How To Make The Best Homemade Pizza,"2 ½ cups warm water (600 mL), 1 teaspoon sugar, 2 teaspoons active dry yeast, 7 cups all-purpose flour (875 g), plus more for dusting, 6 tablespoons extra virgin olive oil, plus more for greasing, 1 ½ teaspoons kosher salt, ¼ cup semolina flour (30 g), 28 oz canned whole tomatoes (795 g), 1 tablespoon kosher salt, tomato sauce, fresh mozzarella cheese, torn into small pieces, fresh basil leaf, extra virgin olive oil, fresh mozzarella cheese, torn into small pieces, ricotta cheese, fresh basil pesto, dried oregano, tomato sauce, fresh mozzarella cheese, torn into small pieces, spicy pepperoni slice, freshly grated parmesan cheese"
Buttermilk Pancakes,"2 cups all-purpose flour (250 g), 2 tablespoons sugar, ½ teaspoon kosher salt, ½ teaspoon baking powder, ½ teaspoon baking soda, 2 cups buttermilk (480 mL), 2 eggs, 3 tablespoons unsalted butter, melted, ½ teaspoon unsalted butter, plus more to serve, maple syrup, to serve"
The Fluffiest Vegan Pancakes,"1 cup flour (125 g), 2 tablespoons organic sugar, 1 tablespoon baking powder, ½ teaspoon salt, 1 cup non-dairy milk (240 mL), 1 tablespoon apple cider vinegar, 1 teaspoon vanilla, maple syrup, to serve"
Peanut Butter Energy Bites,"⅔ cup creamy peanut butter (160 g), 1 cup old-fashioned oats (100 g), plus extra for rolling, 1 ½ tablespoons honey, ¼ cup mini chocolate chips (40 g), plus more for rolling, ¼ cup flax seeds (40 g), optional"
Spaghetti With Garlic And Oil,"salt, to taste, ½ lb spaghetti (225 g), 3 tablespoons extra virgin olive oil, 4 cloves garlic, sliced, 1 teaspoon red chili flakes, 2 tablespoons fresh parsley, finely chopped, optional"
3-ingredient Pancakes,"1 banana, 2 eggs, ¼ teaspoon cinnamon, maple syrup, or honey, to serve"
Cheesy Egg Toast Perfect For Breakfast,"1 slice bread, ½ tablespoon butter, 1 large egg, 3 tablespoons shredded cheese, kosher salt, to taste, freshly ground black pepper, to taste"
Veggie Garlic Noodles,"2 tablespoons vegetable oil (30 mL), 5 cloves garlic, minced, 4 green onions, sliced, divided, 2 carrots, cut into matchsticks, 1 cup snap peas (100 g), 2 tablespoons brown sugar, 3 tablespoons soy sauce, 9 oz dried rice noodles (250 g), cooked"
"Cucumber, Tomato, And Avocado Salad","1 english cucumber, diced, 4 roma tomatoes, diced, 3 ripe avocados, diced, ½ red onion, diced, ¼ cup fresh cilantro (10 g), chopped, 1 lemon, juiced, salt, to taste, pepper, to taste, 2 tablespoons extra virgin olive oil"
Cacio e Pepe (Spaghetti with Cheese and Pepper),"salt, to taste, ½ lb spaghetti (225 g), 2 tablespoons olive oil, 2 tablespoons unsalted butter, 2 teaspoons coarsely ground black pepper, 4 oz grated parmesan cheese (115 g), or pecorino romano cheese"
Chocolate Strawberry Crepes,"2 cups all-purpose flour (250 g), 3 eggs, ¼ cup butter (55 g), melted, 3 tablespoons granulated sugar, 3 cups milk (720 mL), ½ cup hazelnut spread (115 g), 10 strawberries, sliced, powdered sugar, to garnish"
Banana Pancakes,"2 large ripe bananas, 2 eggs, 1 teaspoon vanilla extract, 1 teaspoon cinnamon"
Veggie Fried Rice,"2 teaspoons neutral oil, ½ cup diced carrot (60 g), ½ cup diced yellow onion (75 g), 1 tablespoon minced garlic, ½ cup diced bell pepper (50 g), ½ cup broccoli florets (75 g), 3 large eggs, beaten, ½ cup peas (75 g), ⅓ cup corn, 3 cups cooked white rice (600 g), 2 tablespoons soy sauce, 1 tablespoon sesame oil, freshly ground black pepper, to taste"
Vegan Lasagna Soup,"1 tablespoon olive oil, 1 onion, diced, 3 cloves garlic, minced, 2 tablespoons tomato paste, 1 teaspoon dried basil, 1 teaspoon dried oregano, 28 oz canned crushed tomatoes (795 g), 6 cups vegetable broth (1.4 L), ⅓ cup green lentils (50 g), rinsed, 8 oz dried lasagna noodles (225 g), 3 cups fresh spinach (120 g), thinly sliced fresh basil, for serving"
Mushroom Stroganoff,"2 tablespoons olive oil, divided, 1 medium yellow onion, diced, 12 oz cremini mushroom (340 g), sliced, 3 cloves garlic, ½ teaspoon dried thyme, ¼ teaspoon pepper, ½ teaspoon salt, ¼ cup dry white wine (60 mL), ½ tablespoon vegan worcestershire, ¼ cup flour (30 g), 2 cups vegetable broth (480 mL), 1 ½ cups almond milk (360 mL), 8 oz fusilli pasta (225 g), uncooked, fresh parsley, chopped, for serving, garnish"
Grilled Cheese,"2 pieces sourdough bread, 1 ½ tablespoons unsalted butter, 1 ½ tablespoons mayonnaise, 3 slices cheddar cheese"
Healthy Blueberry Banana Bread,"nonstick cooking spray, for greasing, 3 ripe bananas, 2 large eggs, ½ cup plain 2% Greek yogurt (120 g), ⅓ cup honey (115 g), 1 teaspoon vanilla extract, 1 teaspoon baking soda, 1 ½ cups whole wheat flour (195 g), 1 cup blueberries (100 g)"
No-Bake Cookies and Cream Cheesecake,"36 chocolate sandwich cookies, 5 tablespoons butter, melted, 3 cups cream cheese (800 g), ⅓ cup sugar (65 g), 1 tablespoon vanilla extract, 1 cup milk (240 mL), warm, 1 tablespoon gelatin"
Potato Wedges,"3 large russet potatoes, ⅓ cup olive oil (80 mL), 1 teaspoon salt, ½ teaspoon pepper, 1 tablespoon garlic powder, 1 tablespoon dried oregano, 1 tablespoon paprika, ½ cup vegetarian parmesan cheese (55 g)"
The Ultimate Dinner Rolls,"1 cup whole milk (240 mL), ½ cup warm water (120 mL), ¼ cup unsalted butter (60 mL), melted, ¼ cup sugar (50 g), 2 ¼ teaspoons active dry yeast, 1 packet, 4 cups all-purpose flour (500 g), plus more for dusting, 1 ½ teaspoons kosher salt, 2 large eggs, room temperature, neutral oil, for greasing, sea salt, for sprinkling"
One-Pot Enchilada Rice,"1 tablespoon oil, 1 tablespoon minced garlic, ½ cup chopped red onion (75 g), 1 cup chopped bell peppers (100 g), 1 cup chopped tomatoes (200 g), 3 cups water (720 mL), 1 ½ cups rice (300 g), 1 cup canned black beans (170 g), drained and rinsed, 1 tablespoon chopped fresh cilantro, 1 cup tomato sauce (260 g), 1 teaspoon chili powder, 1 teaspoon cumin, 1 teaspoon salt, 1 teaspoon pepper, ½ cup shredded cheese (50 g), optional, ½ avocado, cubed, for garnish"
